// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 3 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:12 (12 sec)   *****
// Found 3 benchmarks:
//   DynamicCallFieldTest.Origin: Job-CRZEKH(Runtime=Core, Toolchain=netcoreapp2.0, UnrollFactor=64)
//   DynamicCallFieldTest.Origin: Job-PEYBSU(Runtime=Core, Toolchain=netcoreapp2.1, UnrollFactor=64)
//   DynamicCallFieldTest.Origin: Job-BGTYRW(Runtime=Core, Toolchain=netcoreapp2.2, UnrollFactor=64)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: 高性能)// **************************
// Benchmark: DynamicCallFieldTest.Origin: Job-CRZEKH(Runtime=Core, Toolchain=netcoreapp2.0, UnrollFactor=64)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "eef1315b-f324-4bb4-af22-6ce6bc6ebc7c.dll" --benchmarkName "NatashaBenchmark.DynamicCallFieldTest.OriginFieldGetTimeTest" --job "Runtime=Core, Toolchain=netcoreapp2.0, UnrollFactor=64" --benchmarkId 0 in I:\VsGit\Natasha\NatashaBenchmark\bin\Release\netcoreapp2.2\eef1315b-f324-4bb4-af22-6ce6bc6ebc7c\bin\Release\netcoreapp2.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-NNVNPD(Runtime=Core, UnrollFactor=64)

WorkloadPilot    4: 512 op, 423110.28 ns, 826.3873 ns/op
WorkloadPilot    5: 1024 op, 887306.89 ns, 866.5106 ns/op
WorkloadPilot    6: 2048 op, 1736687.93 ns, 847.9922 ns/op
WorkloadPilot    7: 4096 op, 3400289.58 ns, 830.1488 ns/op
WorkloadPilot    8: 8192 op, 7254504.19 ns, 885.5596 ns/op
WorkloadPilot    9: 16384 op, 14855081.77 ns, 906.6822 ns/op
WorkloadPilot   10: 32768 op, 28933078.65 ns, 882.9675 ns/op
WorkloadPilot   11: 65536 op, 55052533.23 ns, 840.0350 ns/op
WorkloadPilot   12: 131072 op, 108992179.77 ns, 831.5443 ns/op
WorkloadPilot   13: 262144 op, 222561930.74 ns, 849.0064 ns/op
WorkloadPilot   14: 524288 op, 449588445.26 ns, 857.5219 ns/op
WorkloadPilot   15: 1048576 op, 916438683.58 ns, 873.9840 ns/op

OverheadWarmup   1: 1048576 op, 2543007.32 ns, 2.4252 ns/op
OverheadWarmup   2: 1048576 op, 2544192.51 ns, 2.4263 ns/op
OverheadWarmup   3: 1048576 op, 2541427.08 ns, 2.4237 ns/op
OverheadWarmup   4: 1048576 op, 2567501.10 ns, 2.4486 ns/op
OverheadWarmup   5: 1048576 op, 2578562.81 ns, 2.4591 ns/op
OverheadWarmup   6: 1048576 op, 2810463.58 ns, 2.6803 ns/op
OverheadWarmup   7: 1048576 op, 2567501.10 ns, 2.4486 ns/op

OverheadActual   1: 1048576 op, 2762266.15 ns, 2.6343 ns/op
OverheadActual   2: 1048576 op, 2920290.53 ns, 2.7850 ns/op
OverheadActual   3: 1048576 op, 2535106.10 ns, 2.4177 ns/op
OverheadActual   4: 1048576 op, 2523649.34 ns, 2.4067 ns/op
OverheadActual   5: 1048576 op, 2520093.79 ns, 2.4033 ns/op
OverheadActual   6: 1048576 op, 2526414.76 ns, 2.4094 ns/op
OverheadActual   7: 1048576 op, 2574612.20 ns, 2.4553 ns/op
OverheadActual   8: 1048576 op, 2844438.83 ns, 2.7127 ns/op
OverheadActual   9: 1048576 op, 2521278.97 ns, 2.4045 ns/op
OverheadActual  10: 1048576 op, 2919895.47 ns, 2.7846 ns/op
OverheadActual  11: 1048576 op, 2533920.92 ns, 2.4165 ns/op
