// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 4 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:09 (9.83 sec)   *****
// Found 4 benchmarks:
//   DynamicCallFieldTest.Origin: Job-JEIRTG(Runtime=Core, Toolchain=netcoreapp2.0)
//   DynamicCallFieldTest.Origin: Job-ZZWUHG(Runtime=Core, Toolchain=netcoreapp2.1)
//   DynamicCallFieldTest.Origin: Job-CJGXKD(Runtime=Core, Toolchain=netcoreapp2.2)
//   DynamicCallFieldTest.Origin: Core(Runtime=Core)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: 高性能)// **************************
// Benchmark: DynamicCallFieldTest.Origin: Job-JEIRTG(Runtime=Core, Toolchain=netcoreapp2.0)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "4780a247-c1f3-4696-86a5-75960e16887f.dll" --benchmarkName "NatashaBenchmark.DynamicCallFieldTest.OriginFieldGetTimeTest" --job "Runtime=Core, Toolchain=netcoreapp2.0" --benchmarkId 0 in I:\VsGit\Natasha\NatashaBenchmark\bin\Release\netcoreapp2.0\4780a247-c1f3-4696-86a5-75960e16887f\bin\Release\netcoreapp2.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.0.9 (CoreCLR 4.6.26614.01, CoreFX 4.6.26614.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-QROKCX(Runtime=Core)

OverheadActual  14: 268435456 op, 529816051.65 ns, 1.9737 ns/op
OverheadActual  15: 268435456 op, 565097773.67 ns, 2.1052 ns/op

WorkloadWarmup   1: 268435456 op, 588260996.33 ns, 2.1914 ns/op
WorkloadWarmup   2: 268435456 op, 546089803.71 ns, 2.0343 ns/op
WorkloadWarmup   3: 268435456 op, 545269656.86 ns, 2.0313 ns/op
WorkloadWarmup   4: 268435456 op, 540548281.60 ns, 2.0137 ns/op
WorkloadWarmup   5: 268435456 op, 558486821.16 ns, 2.0805 ns/op
WorkloadWarmup   6: 268435456 op, 546335926.78 ns, 2.0353 ns/op
WorkloadWarmup   7: 268435456 op, 561048397.36 ns, 2.0901 ns/op
WorkloadWarmup   8: 268435456 op, 553593199.26 ns, 2.0623 ns/op

// BeforeActualRun
WorkloadActual   1: 268435456 op, 550895722.04 ns, 2.0522 ns/op
WorkloadActual   2: 268435456 op, 544704719.48 ns, 2.0292 ns/op
WorkloadActual   3: 268435456 op, 546290889.81 ns, 2.0351 ns/op
WorkloadActual   4: 268435456 op, 544906200.64 ns, 2.0299 ns/op
WorkloadActual   5: 268435456 op, 548987576.91 ns, 2.0451 ns/op
WorkloadActual   6: 268435456 op, 546690296.59 ns, 2.0366 ns/op
WorkloadActual   7: 268435456 op, 547743529.49 ns, 2.0405 ns/op
WorkloadActual   8: 268435456 op, 546040816.13 ns, 2.0342 ns/op
WorkloadActual   9: 268435456 op, 545117558.33 ns, 2.0307 ns/op
WorkloadActual  10: 268435456 op, 553074484.03 ns, 2.0604 ns/op
WorkloadActual  11: 268435456 op, 540118060.06 ns, 2.0121 ns/op
WorkloadActual  12: 268435456 op, 544536423.45 ns, 2.0286 ns/op
WorkloadActual  13: 268435456 op, 539924875.18 ns, 2.0114 ns/op
WorkloadActual  14: 268435456 op, 543433807.91 ns, 2.0244 ns/op
WorkloadActual  15: 268435456 op, 541606255.24 ns, 2.0176 ns/op

// AfterActualRun
WorkloadResult   1: 268435456 op, 5542707.29 ns, 0.0206 ns/op
WorkloadResult   2: 268435456 op, 0.00 ns, 0.0000 ns/op
WorkloadResult   3: 268435456 op, 937875.06 ns, 0.0035 ns/op
WorkloadResult   4: 268435456 op, 0.00 ns, 0.0000 ns/op
WorkloadResult   5: 268435456 op, 3634562.16 ns, 0.0135 ns/op
WorkloadResult   6: 268435456 op, 1337281.84 ns, 0.0050 ns/op
WorkloadResult   7: 268435456 op, 2390514.74 ns, 0.0089 ns/op
WorkloadResult   8: 268435456 op, 687801.38 ns, 0.0026 ns/op
WorkloadResult   9: 268435456 op, 0.00 ns, 0.0000 ns/op
WorkloadResult  10: 268435456 op, 7721469.28 ns, 0.0288 ns/op
WorkloadResult  11: 268435456 op, 0.00 ns, 0.0000 ns/op
WorkloadResult  12: 268435456 op, 0.00 ns, 0.0000 ns/op
WorkloadResult  13: 268435456 op, 0.00 ns, 0.0000 ns/op
WorkloadResult  14: 268435456 op, 0.00 ns, 0.0000 ns/op
WorkloadResult  15: 268435456 op, 0.00 ns, 0.0000 ns/op
GC:  0 0 0 0 268435456

// AfterAll

Mean = 0.0055 ns, StdErr = 0.0023 ns (41.45%); N = 15, StdDev = 0.0089 ns
Min = 0.0000 ns, Q1 = 0.0000 ns, Median = 0.0000 ns, Q3 = 0.0089 ns, Max = 0.0288 ns
IQR = 0.0089 ns, LowerFence = -0.0134 ns, UpperFence = 0.0223 ns
ConfidenceInterval = [-0.0040 ns; 0.0150 ns] (CI 99.9%), Margin = 0.0095 ns (171.62% of Mean)
Skewness = 1.45, Kurtosis = 3.83, MValue = 2.2

// **************************
// Benchmark: DynamicCallFieldTest.Origin: Job-CJGXKD(Runtime=Core, Toolchain=netcoreapp2.2)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "d57e0684-54e0-4f0b-859f-9d8c360c7783.dll" --benchmarkName "NatashaBenchmark.DynamicCallFieldTest.OriginFieldGetTimeTest" --job "Runtime=Core, Toolchain=netcoreapp2.2" --benchmarkId 0 in I:\VsGit\Natasha\NatashaBenchmark\bin\Release\netcoreapp2.0\d57e0684-54e0-4f0b-859f-9d8c360c7783\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.5 (CoreCLR 4.6.27617.05, CoreFX 4.6.27618.01), 64bit RyuJIT
// GC=Concurrent Workstation
// Job: Job-PQMINY(Runtime=Core)

